Date;Open;High;Low;Close;Adj Close;Volume
15/06/2012;50.52;50.52;50.52;50.52;50.52;0
18/06/2012;50.830002;50.830002;50.830002;50.830002;50.830002;0
19/06/2012;51.700001;51.700001;51.700001;51.700001;51.700001;0
20/06/2012;51.490002;51.490002;51.490002;51.490002;51.490002;0
21/06/2012;50.07;50.07;50.07;50.07;50.07;0
22/06/2012;49.91;49.91;49.91;49.91;49.91;0
25/06/2012;49.130001;49.130001;49.130001;49.130001;49.130001;0
26/06/2012;49.34;49.34;49.34;49.34;49.34;0
27/06/2012;49.200001;49.200001;49.200001;49.200001;49.200001;0
28/06/2012;49.02;49.02;49.02;49.02;49.02;0
29/06/2012;50.130001;50.130001;50.130001;50.130001;50.130001;0
02/07/2012;50.220001;50.220001;50.220001;50.220001;50.220001;0
03/07/2012;51.09;51.09;51.09;51.09;51.09;0
04/07/2012;51.389999;51.389999;51.389999;51.389999;51.389999;0
05/07/2012;51.41;51.41;51.41;51.41;51.41;0
06/07/2012;50.900002;50.900002;50.900002;50.900002;50.900002;0
10/07/2012;49.759998;49.759998;49.759998;49.759998;49.759998;0
11/07/2012;49.630001;49.630001;49.630001;49.630001;49.630001;0
12/07/2012;49.32;49.32;49.32;49.32;49.32;0
13/07/2012;49.830002;49.830002;49.830002;49.830002;49.830002;0
16/07/2012;49.439999;49.439999;49.439999;49.439999;49.439999;0
17/07/2012;49.68;49.68;49.68;49.68;49.68;0
18/07/2012;50.240002;50.240002;50.240002;50.240002;50.240002;0
19/07/2012;50.68;50.68;50.68;50.68;50.68;0
20/07/2012;50.060001;50.060001;50.060001;50.060001;50.060001;0
23/07/2012;49.169998;49.169998;49.169998;49.169998;49.169998;0
24/07/2012;48.959999;48.959999;48.959999;48.959999;48.959999;0
25/07/2012;49.02;49.02;49.02;49.02;49.02;0
26/07/2012;50.189999;50.189999;50.189999;50.189999;50.189999;0
27/07/2012;52.080002;52.080002;52.080002;52.080002;52.080002;0
30/07/2012;52.599998;52.599998;52.599998;52.599998;52.599998;0
31/07/2012;51.689999;51.689999;51.689999;51.689999;51.689999;0
01/08/2012;51.759998;51.759998;51.759998;51.759998;51.759998;0
02/08/2012;51.169998;51.169998;51.169998;51.169998;51.169998;0
03/08/2012;52.310001;52.310001;52.310001;52.310001;52.310001;0
06/08/2012;53.080002;53.080002;53.080002;53.080002;53.080002;0
07/08/2012;52.82;52.82;52.82;52.82;52.82;0
08/08/2012;53.43;53.43;53.43;53.43;53.43;0
09/08/2012;53.189999;53.189999;53.189999;53.189999;53.189999;0
10/08/2012;53.560001;53.560001;53.560001;53.560001;53.560001;0
13/08/2012;53.27;53.27;53.27;53.27;53.27;0
14/08/2012;52.700001;52.700001;52.700001;52.700001;52.700001;0
15/08/2012;52.689999;52.689999;52.689999;52.689999;52.689999;0
16/08/2012;53.349998;53.349998;53.349998;53.349998;53.349998;0
17/08/2012;52.990002;52.990002;52.990002;52.990002;52.990002;0
20/08/2012;52.919998;52.919998;52.919998;52.919998;52.919998;0
21/08/2012;52.5;52.5;52.5;52.5;52.5;0
22/08/2012;52.759998;52.759998;52.759998;52.759998;52.759998;0
23/08/2012;52.369999;52.369999;52.369999;52.369999;52.369999;0
24/08/2012;52.27;52.27;52.27;52.27;52.27;0
27/08/2012;52.09;52.09;52.09;52.09;52.09;0
28/08/2012;52.25;52.25;52.25;52.25;52.25;0
29/08/2012;51.380001;51.380001;51.380001;51.380001;51.380001;0
30/08/2012;51.240002;51.240002;51.240002;51.240002;51.240002;0
31/08/2012;51.139999;51.139999;51.139999;51.139999;51.139999;0
03/09/2012;51.509998;51.509998;51.509998;51.509998;51.509998;0
04/09/2012;50.639999;50.639999;50.639999;50.639999;50.639999;0
05/09/2012;51.099998;51.099998;51.099998;51.099998;51.099998;0
06/09/2012;52.290001;52.290001;52.290001;52.290001;52.290001;0
10/09/2012;52.16;52.16;52.16;52.16;52.16;0
11/09/2012;52.650002;52.650002;52.650002;52.650002;52.650002;0
12/09/2012;52.759998;52.759998;52.759998;52.759998;52.759998;0
13/09/2012;53.759998;53.759998;53.759998;53.759998;53.759998;0
14/09/2012;54.200001;54.200001;54.200001;54.200001;54.200001;0
17/09/2012;54.310001;54.310001;54.310001;54.310001;54.310001;0
